ID,locate,lat,lng
6290,湖北+八字门水库,31.1067474,113.1486228
6291,江西景德镇+景德镇陶瓷学院,29.2928905,117.2502287
6292,湖北武昌+武汉纺织大学阳光,30.53248,114.32098
6293,陕西周至+观音山,33.8554661,108.5059298
6300,上海市区+顾村公园,31.34459099999999,121.372939
6301,广东广州+从化石门森林公园,23.74265,113.782902
6302,甘肃敦煌+鸣沙山,40.08818309999999,94.6755701
6303,甘肃敦煌+火车站,40.169085,94.78450199999999
6304,山西绛县+Daming P,35.49119,111.568236
6305,云南孟腊+勐远仙境,21.739677,101.380909
6306,北京市区+康庄公园,39.756226,116.342124
6307,北京市区+房山区 花田湿地,39.749144,116.143267
6308,北京市区+北宫森林公园,39.8595,116.122274
6309,湖北荆沙+马山镇联山村,35.86724299999999,140.077792
6310,江苏溧阳+龙潭林场,31.386126,119.50259
6311,新疆乌鲁木齐+红山公园,43.809797,87.60922
6312,安徽黟县+宏村,30.00340199999999,117.984292
6313,江西婺源+石门村,29.24808599999999,117.861798
6314,江苏溧阳+长荡湖湿地公园,31.386126,119.50259
6315,浙江杭州+白乐桥,30.244889,120.107691
6316,新疆库尔勒+哈拉玉宫村,41.62051599999999,86.081648
6317,云南思茅+孟连县,22.330028,99.58952699999999
6319,新疆和静+克尔古提山区,42.57299400000001,86.877197
6320,新疆博湖+莲花湖,41.810502,86.368522
6321,四川宝兴+宝兴全县,30.3054876,102.7885
6322,新疆博湖+阿洪口,41.768625,86.52707699999999
6323,云南丽江+玉龙雪山大索道,26.811041,100.252433
6324,陕西洋县+洋县县城周边,33.222739,107.545837
6325,内蒙古海拉尔+西山国家森林公园,49.213778,119.726619
6326,湖南双牌+阳明山,25.998647,111.696194
6327,湖南长沙县+影珠山,28.233135,113.077113
6328,甘肃肃北+鱼儿红,39.695437,97.21924
6329,广东从化+瑶老社及阿婆六,23.548852,113.586605
6330,广东连平+九连山,24.1985832,114.3773332
6331,青海泽库+麦秀林场,35.199527,101.787844
6332,青海泽库+官秀林场,35.035313,101.466689
6333,青海海晏+西海镇,36.957869,100.902974
6334,浙江景宁+家地乡,27.709615,119.530319
6335,湖南宁乡+灰汤温泉,27.983279,112.339509
6336,福建南靖+和溪镇乐土村,24.905804,117.214731
6337,湖北荆沙+长湖湿地保护区,35.86724299999999,140.077792
6338,甘肃临夏市+松鸣岩,35.256898,103.412419
6339,新疆阿合奇+省道306沿线,40.936936,78.446253
6340,新疆若羌+台特玛湖,39.4562605,88.3215014
6341,新疆拜城+省道307沿线,41.79691,81.874156
6342,新疆若羌+红柳沟,39.023242,88.167152
6343,青海茫崖+花土沟沙漠公路,37.022652,137.794522
6344,甘肃天祝+夏马林区,36.98056,103.136573
6345,安徽休宁+白际乡,29.532459,118.398595
6346,江苏连云港+东海 西双湖,34.5311807,118.7227159
6347,湖南常德+壶瓶山保护区,29.9352907,110.7836107
6348,四川康定+雅加梗,29.998436,101.957146
6349,山东青岛+墨水河,36.31822,120.37576
6350,新疆若羌+库木库里,39.023242,88.167152
6351,云南孟连+那勒,22.4970852,99.7037967
6352,江苏连云港+云台农场,34.580367,119.277924
6353,新疆民丰+沙漠公路,37.06408,82.69586199999999
6354,北京市区+204国道,39.983064,116.332689
6358,湖北神农架+神农顶,31.481842,110.328429
6359,新疆木垒+县城,43.830226,90.282431
6360,宁夏中卫+沙坡头风景区,37.290034,105.462407
6361,湖北神农架+龙降坪,31.502231,110.390419
6362,山东泰安+泮河,36.158658,117.129244
6363,内蒙古赤峰+塔里湖,42.256416,118.959771
6364,青海治多+索加乡,33.888051,93.67391699999999
6365,广东河源+和平军屯围村,24.44218,114.938684
6366,浙江嘉兴+秀洲区油车港镇,30.826719,120.752796
6367,青海德令哈+尕海,37.217893,97.415605
6368,河北张家口+坝上,41.648694,115.815023
6379,江西都昌+全县,29.51643,116.507927
6380,江西彭泽+芙蓉墩镇 凤凰村,29.838532,116.526672
6381,内蒙古额尔古纳右旗+室韦,50.243102,120.180506
6382,湖北孝感+府河石头埠,30.955679,113.929372
6383,福建华安+湖林乡湖林村,25.112174,117.546907
6384,重庆武隆+白马山,29.3942983,107.5420044
6385,四川成都+文殊院,30.67267369999999,104.0680938
6386,广东湛江+海滨公园,21.230866,110.381898
6387,安徽宣州+双桥,31.207838,118.748536
6388,江西彭泽+黄岭乡 三畈村,29.797787,116.570925
6389,浙江舟山+五峙山列岛,29.98529499999999,122.207216
6390,四川宝兴+神木垒景区,30.368126,102.814531
6391,四川宝兴+邓池沟,30.54038,102.941484
6393,山东嘉祥+新赵王河,35.392264,116.358483
6394,山东嘉祥+洙赵新河,35.260698,116.491614
6395,北京昌平+太平郊野公园,40.067017,116.395548
6396,北京市区+清河中段,40.041096,116.315171
6397,陕西西安+大明宫遗址公园,34.2883047,108.9715222
6398,山东济宁+南阳湖农场,35.092185,116.67822
6400,北京市区+奥森北园,39.904211,116.407395
6401,山东济宁+南郊动植物园,35.379534,116.605675
6402,云南永胜+金移村-沿江村,26.684225,100.750795
6403,浙江金华+傅村洪塘畈,29.23918299999999,119.868299
6404,江西上饶+鄱阳湖湿地公园,28.971911,116.547773
6405,北京市区+地坛公园,39.952842,116.4161
6406,上海南汇+临港新城河岸带,31.250033,121.455711
6408,四川天全+县城外天全河,30.066713,102.758317
6409,新疆和硕+博斯滕湖金沙滩,42.26837099999999,86.863963
6410,四川康定+雅拉乡,30.124002,101.934249
6411,贵州锦屏+隆里古城,26.414607,109.108332
6412,广东茂名+大竹洲岛,22.549332,111.79706
6413,广东电白+大竹洲岛,22.05344,111.29987
6414,广东广州+从化良口良平村,23.676706,113.77096
6415,浙江宁波+诺丁汉大学,29.803511,121.561649
6416,陕西周至+老县城保护区,34.1624201,108.2023151
6417,福建漳州+圆山,24.015202,117.339814
6418,重庆重庆+铁山坪,30.691962,107.875177
6419,云南腾冲+北海打苴,25.080015,98.577691
6421,内蒙古伊金霍洛旗+成陵,39.337147,109.8410745
6422,新疆奇台+硅化木园—恐龙沟,44.022066,89.59396699999999
6423,湖北武汉+东湖茶场,30.56154,114.372766
6424,浙江杭州+城西森林公园,30.1852849,120.0145169
6425,海南三亚+榆林港红树林,18.203877,109.549229
6427,北京市区+中科院奥运村园区,39.997589,116.382637
6428,福建厦门+厦门大学翔安校区,24.6525241,118.2505844
